VEMOACCOUNTNUMBER,VEMOCONTRACTNUMBER,ASOFDATE,STATUS,STATUS_GROUP,DAYSPASTDUE
10007246,1000002224,2021-09-30,Deferment,Post-Grace,0
10007246,1000002224,2021-10-31,Deferment,Post-Grace,0
10007246,1000002224,2021-11-30,Deferment,Post-Grace,0
10007246,1000002224,2021-12-31,Deferment,Post-Grace,0
10007246,1000002224,2022-01-31,Payment,Post-Grace,30
10007246,1000002224,2022-02-28,Payment,Post-Grace,58
10007246,1000002224,2022-03-31,Payment,Post-Grace,89
10007247,1000002225,2019-01-31,Fully Funded,In-School,0
10007247,1000002225,2019-02-28,Fully Funded,In-School,0
10007247,1000002225,2019-03-31,Grace,Grace,0
10007247,1000002225,2019-04-30,Grace,Grace,0
10007247,1000002225,2019-05-31,Grace,Grace,0
10007247,1000002225,2019-06-30,Payment,Post-Grace,0
10007247,1000002225,2019-07-31,Payment,Post-Grace,0
10007247,1000002225,2019-08-31,Payment,Post-Grace,0
10007247,1000002225,2019-09-30,Payment,Post-Grace,0
10007247,1000002225,2019-10-31,Payment,Post-Grace,0
10007247,1000002225,2019-11-30,Payment,Post-Grace,0
10007247,1000002225,2019-12-31,Payment,Post-Grace,0
10007247,1000002225,2020-01-31,Payment,Post-Grace,0
10007247,1000002225,2020-02-29,Payment,Post-Grace,0
10007247,1000002225,2020-03-31,Payment,Post-Grace,0
10007247,1000002225,2020-04-30,Payment,Post-Grace,0
10007247,1000002225,2020-05-31,Payment,Post-Grace,0
10007247,1000002225,2020-06-30,Payment,Post-Grace,0
10007247,1000002225,2020-07-31,Payment,Post-Grace,0
10007247,1000002225,2020-08-31,Payment,Post-Grace,0
10007247,1000002225,2020-09-30,Payment,Post-Grace,0
10007247,1000002225,2020-10-31,Payment,Post-Grace,0
10007247,1000002225,2020-11-30,Payment,Post-Grace,0
10007247,1000002225,2020-12-31,Payment,Post-Grace,0
10007247,1000002225,2021-01-31,Payment,Post-Grace,0
10007247,1000002225,2021-02-28,Payment,Post-Grace,0
10007247,1000002225,2021-03-31,Payment,Post-Grace,0
10007247,1000002225,2021-04-30,Payment,Post-Grace,0
10007247,1000002225,2021-05-31,Payment,Post-Grace,0
10007247,1000002225,2021-06-30,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-07-31,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-08-31,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-09-30,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-10-31,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-11-30,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2021-12-31,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2022-01-31,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2022-02-28,Pending Reconciliation,Post-Grace,0
10007247,1000002225,2022-03-31,Pending Reconciliation,Post-Grace,0
10007248,1000002226,2019-01-31,Fully Funded,In-School,0
10007248,1000002226,2019-02-28,Fully Funded,In-School,0
10007248,1000002226,2019-03-31,Fully Funded,In-School,0
10007248,1000002226,2019-04-30,Fully Funded,In-School,0
10007248,1000002226,2019-05-31,Fully Funded,In-School,0
10007248,1000002226,2019-06-30,Fully Funded,In-School,0
10007248,1000002226,2019-07-31,Fully Funded,In-School,0
10007248,1000002226,2019-08-31,Grace,Grace,0
10007248,1000002226,2019-09-30,Grace,Grace,0
10007248,1000002226,2019-10-31,Grace,Grace,0
